================ Training Loss (Sat Feb 21 20:22:08 2026) ================
[Rank 0] (epoch: 2, iters: 220, time: 0.110, data: 0.001) , D_A: 0.260, G_A: 0.249, cycle_A: 0.337, idt_A: 0.204, D_B: 0.090, G_B: 0.936, cycle_B: 0.528, idt_B: 0.114

[Rank 0] (epoch: 2, iters: 320, time: 0.057, data: 0.001) , D_A: 0.130, G_A: 0.316, cycle_A: 0.336, idt_A: 0.330, D_B: 0.110, G_B: 1.422, cycle_B: 0.772, idt_B: 0.104

[Rank 0] (epoch: 2, iters: 420, time: 0.058, data: 0.001) , D_A: 0.086, G_A: 0.087, cycle_A: 0.455, idt_A: 0.220, D_B: 0.106, G_B: 0.343, cycle_B: 0.493, idt_B: 0.108

[Rank 0] (epoch: 2, iters: 520, time: 0.057, data: 0.001) , D_A: 0.106, G_A: 0.648, cycle_A: 0.337, idt_A: 0.125, D_B: 0.048, G_B: 0.920, cycle_B: 0.361, idt_B: 0.112

[Rank 0] (epoch: 2, iters: 620, time: 0.110, data: 0.001) , D_A: 0.322, G_A: 0.167, cycle_A: 0.444, idt_A: 0.215, D_B: 0.105, G_B: 0.758, cycle_B: 0.466, idt_B: 0.147

[Rank 0] (epoch: 2, iters: 720, time: 0.059, data: 0.001) , D_A: 0.095, G_A: 0.293, cycle_A: 0.344, idt_A: 0.174, D_B: 0.060, G_B: 0.894, cycle_B: 0.436, idt_B: 0.120

[Rank 0] (epoch: 2, iters: 820, time: 0.057, data: 0.001) , D_A: 0.135, G_A: 0.477, cycle_A: 0.279, idt_A: 0.174, D_B: 0.149, G_B: 0.373, cycle_B: 0.458, idt_B: 0.098

[Rank 0] (epoch: 2, iters: 920, time: 0.057, data: 0.001) , D_A: 0.259, G_A: 0.655, cycle_A: 0.333, idt_A: 0.251, D_B: 0.115, G_B: 0.564, cycle_B: 0.712, idt_B: 0.102

[Rank 0] (epoch: 2, iters: 1020, time: 0.110, data: 0.001) , D_A: 0.179, G_A: 0.486, cycle_A: 0.392, idt_A: 0.179, D_B: 0.028, G_B: 0.774, cycle_B: 0.452, idt_B: 0.158

[Rank 0] (epoch: 2, iters: 1120, time: 0.057, data: 0.001) , D_A: 0.161, G_A: 0.277, cycle_A: 0.297, idt_A: 0.159, D_B: 0.028, G_B: 0.814, cycle_B: 0.485, idt_B: 0.088

