================ Training Loss (Sat Feb 21 15:53:10 2026) ================
[Rank 0] (epoch: 2, iters: 220, time: 0.124, data: 0.001) , D_A: 0.159, G_A: 0.496, cycle_A: 0.338, idt_A: 0.094, D_B: 0.058, G_B: 0.569, cycle_B: 0.288, idt_B: 0.149

[Rank 0] (epoch: 2, iters: 320, time: 0.074, data: 0.001) , D_A: 0.142, G_A: 0.126, cycle_A: 0.361, idt_A: 0.209, D_B: 0.023, G_B: 0.399, cycle_B: 0.441, idt_B: 0.145

[Rank 0] (epoch: 2, iters: 420, time: 0.072, data: 0.001) , D_A: 0.292, G_A: 0.179, cycle_A: 0.362, idt_A: 0.118, D_B: 0.128, G_B: 0.373, cycle_B: 0.216, idt_B: 0.174

[Rank 0] (epoch: 2, iters: 520, time: 0.071, data: 0.001) , D_A: 0.250, G_A: 0.170, cycle_A: 0.348, idt_A: 0.143, D_B: 0.046, G_B: 0.736, cycle_B: 0.308, idt_B: 0.129

[Rank 0] (epoch: 2, iters: 620, time: 0.128, data: 0.001) , D_A: 0.156, G_A: 0.286, cycle_A: 0.281, idt_A: 0.276, D_B: 0.051, G_B: 0.647, cycle_B: 0.680, idt_B: 0.119

[Rank 0] (epoch: 2, iters: 720, time: 0.072, data: 0.001) , D_A: 0.077, G_A: 0.292, cycle_A: 0.307, idt_A: 0.094, D_B: 0.016, G_B: 0.664, cycle_B: 0.241, idt_B: 0.134

[Rank 0] (epoch: 2, iters: 820, time: 0.071, data: 0.001) , D_A: 0.232, G_A: 0.650, cycle_A: 0.311, idt_A: 0.090, D_B: 0.022, G_B: 0.757, cycle_B: 0.297, idt_B: 0.130

[Rank 0] (epoch: 2, iters: 920, time: 0.071, data: 0.002) , D_A: 0.184, G_A: 0.363, cycle_A: 0.376, idt_A: 0.154, D_B: 0.141, G_B: 0.275, cycle_B: 0.321, idt_B: 0.144

[Rank 0] (epoch: 2, iters: 1020, time: 0.129, data: 0.001) , D_A: 0.185, G_A: 0.413, cycle_A: 0.347, idt_A: 0.386, D_B: 0.020, G_B: 1.069, cycle_B: 0.854, idt_B: 0.156

[Rank 0] (epoch: 2, iters: 1120, time: 0.071, data: 0.001) , D_A: 0.133, G_A: 0.311, cycle_A: 0.439, idt_A: 0.287, D_B: 0.026, G_B: 0.722, cycle_B: 0.461, idt_B: 0.181

[Rank 0] (epoch: 2, iters: 1220, time: 0.071, data: 0.000) , D_A: 0.151, G_A: 0.062, cycle_A: 0.360, idt_A: 0.089, D_B: 0.098, G_B: 0.451, cycle_B: 0.207, idt_B: 0.143

[Rank 0] (epoch: 2, iters: 1320, time: 0.072, data: 0.001) , D_A: 0.295, G_A: 0.278, cycle_A: 0.263, idt_A: 0.317, D_B: 0.097, G_B: 1.318, cycle_B: 0.760, idt_B: 0.093

[Rank 0] (epoch: 2, iters: 1420, time: 0.134, data: 0.001) , D_A: 0.243, G_A: 0.187, cycle_A: 0.260, idt_A: 0.164, D_B: 0.126, G_B: 0.964, cycle_B: 0.419, idt_B: 0.114

[Rank 0] (epoch: 2, iters: 1520, time: 0.071, data: 0.001) , D_A: 0.076, G_A: 0.468, cycle_A: 0.445, idt_A: 0.130, D_B: 0.292, G_B: 0.431, cycle_B: 0.244, idt_B: 0.151

[Rank 0] (epoch: 2, iters: 1620, time: 0.072, data: 0.001) , D_A: 0.233, G_A: 0.259, cycle_A: 0.285, idt_A: 0.420, D_B: 0.056, G_B: 0.333, cycle_B: 1.575, idt_B: 0.128

[Rank 0] (epoch: 2, iters: 1720, time: 0.071, data: 0.001) , D_A: 0.183, G_A: 0.696, cycle_A: 0.310, idt_A: 0.171, D_B: 0.051, G_B: 0.432, cycle_B: 0.368, idt_B: 0.125

