================ Training Loss (Sat Feb 21 18:03:18 2026) ================
================ Training Loss (Sat Feb 21 18:03:37 2026) ================
[Rank 0] (epoch: 2, iters: 220, time: 0.109, data: 0.002) , D_A: 0.130, G_A: 0.330, cycle_A: 0.440, idt_A: 0.130, D_B: 0.016, G_B: 0.890, cycle_B: 0.530, idt_B: 0.116

[Rank 0] (epoch: 2, iters: 320, time: 0.060, data: 0.001) , D_A: 0.222, G_A: 0.373, cycle_A: 0.409, idt_A: 0.309, D_B: 0.039, G_B: 0.804, cycle_B: 1.257, idt_B: 0.098

[Rank 0] (epoch: 2, iters: 420, time: 0.058, data: 0.001) , D_A: 0.189, G_A: 0.435, cycle_A: 0.476, idt_A: 0.279, D_B: 0.052, G_B: 0.953, cycle_B: 0.874, idt_B: 0.094

[Rank 0] (epoch: 2, iters: 520, time: 0.057, data: 0.001) , D_A: 0.217, G_A: 0.444, cycle_A: 0.379, idt_A: 0.120, D_B: 0.277, G_B: 0.230, cycle_B: 0.480, idt_B: 0.094

[Rank 0] (epoch: 2, iters: 620, time: 0.114, data: 0.001) , D_A: 0.199, G_A: 0.402, cycle_A: 0.416, idt_A: 0.100, D_B: 0.116, G_B: 0.362, cycle_B: 0.395, idt_B: 0.092

[Rank 0] (epoch: 2, iters: 720, time: 0.057, data: 0.001) , D_A: 0.145, G_A: 0.319, cycle_A: 0.374, idt_A: 0.117, D_B: 0.051, G_B: 0.951, cycle_B: 0.458, idt_B: 0.082

[Rank 0] (epoch: 2, iters: 820, time: 0.057, data: 0.001) , D_A: 0.096, G_A: 0.421, cycle_A: 0.313, idt_A: 0.186, D_B: 0.093, G_B: 1.135, cycle_B: 0.757, idt_B: 0.062

[Rank 0] (epoch: 2, iters: 920, time: 0.057, data: 0.001) , D_A: 0.189, G_A: 0.364, cycle_A: 0.407, idt_A: 0.126, D_B: 0.082, G_B: 0.472, cycle_B: 0.480, idt_B: 0.117

[Rank 0] (epoch: 2, iters: 1020, time: 0.106, data: 0.001) , D_A: 0.162, G_A: 0.433, cycle_A: 0.333, idt_A: 0.126, D_B: 0.051, G_B: 0.902, cycle_B: 0.505, idt_B: 0.076

[Rank 0] (epoch: 2, iters: 1120, time: 0.057, data: 0.001) , D_A: 0.234, G_A: 0.561, cycle_A: 0.347, idt_A: 0.203, D_B: 0.035, G_B: 0.607, cycle_B: 0.747, idt_B: 0.082

[Rank 0] (epoch: 2, iters: 1220, time: 0.058, data: 0.000) , D_A: 0.250, G_A: 0.146, cycle_A: 0.315, idt_A: 0.150, D_B: 0.168, G_B: 1.476, cycle_B: 0.564, idt_B: 0.079

[Rank 0] (epoch: 2, iters: 1320, time: 0.064, data: 0.001) , D_A: 0.085, G_A: 0.116, cycle_A: 0.297, idt_A: 0.193, D_B: 0.076, G_B: 0.758, cycle_B: 0.839, idt_B: 0.060

[Rank 0] (epoch: 2, iters: 1420, time: 0.118, data: 0.001) , D_A: 0.109, G_A: 0.141, cycle_A: 0.317, idt_A: 0.279, D_B: 0.033, G_B: 0.768, cycle_B: 1.013, idt_B: 0.079

[Rank 0] (epoch: 2, iters: 1520, time: 0.067, data: 0.001) , D_A: 0.158, G_A: 0.444, cycle_A: 0.278, idt_A: 0.114, D_B: 0.237, G_B: 0.888, cycle_B: 0.454, idt_B: 0.066

[Rank 0] (epoch: 2, iters: 1620, time: 0.057, data: 0.001) , D_A: 0.137, G_A: 0.330, cycle_A: 0.298, idt_A: 0.267, D_B: 0.060, G_B: 1.119, cycle_B: 0.969, idt_B: 0.094

[Rank 0] (epoch: 2, iters: 1720, time: 0.058, data: 0.000) , D_A: 0.166, G_A: 0.118, cycle_A: 0.261, idt_A: 0.124, D_B: 0.106, G_B: 0.343, cycle_B: 0.471, idt_B: 0.056

[Rank 0] (epoch: 2, iters: 1820, time: 0.106, data: 0.001) , D_A: 0.095, G_A: 0.372, cycle_A: 0.304, idt_A: 0.095, D_B: 0.108, G_B: 0.652, cycle_B: 0.358, idt_B: 0.070

[Rank 0] (epoch: 2, iters: 1920, time: 0.060, data: 0.001) , D_A: 0.167, G_A: 0.441, cycle_A: 0.292, idt_A: 0.129, D_B: 0.056, G_B: 0.795, cycle_B: 0.527, idt_B: 0.057

[Rank 0] (epoch: 2, iters: 2020, time: 0.059, data: 0.001) , D_A: 0.304, G_A: 0.493, cycle_A: 0.344, idt_A: 0.151, D_B: 0.042, G_B: 0.753, cycle_B: 0.495, idt_B: 0.081

[Rank 0] (epoch: 2, iters: 2120, time: 0.059, data: 0.001) , D_A: 0.148, G_A: 0.191, cycle_A: 0.338, idt_A: 0.161, D_B: 0.023, G_B: 0.856, cycle_B: 0.584, idt_B: 0.076

[Rank 0] (epoch: 2, iters: 2220, time: 0.110, data: 0.001) , D_A: 0.267, G_A: 0.210, cycle_A: 0.320, idt_A: 0.095, D_B: 0.026, G_B: 0.862, cycle_B: 0.483, idt_B: 0.070

[Rank 0] (epoch: 2, iters: 2320, time: 0.056, data: 0.001) , D_A: 0.163, G_A: 0.299, cycle_A: 0.458, idt_A: 0.099, D_B: 0.100, G_B: 0.821, cycle_B: 0.378, idt_B: 0.072

[Rank 0] (epoch: 2, iters: 2420, time: 0.057, data: 0.001) , D_A: 0.253, G_A: 0.692, cycle_A: 0.388, idt_A: 0.100, D_B: 0.019, G_B: 0.451, cycle_B: 0.467, idt_B: 0.100

[Rank 0] (epoch: 2, iters: 2520, time: 0.057, data: 0.001) , D_A: 0.111, G_A: 0.475, cycle_A: 0.403, idt_A: 0.240, D_B: 0.037, G_B: 0.697, cycle_B: 0.927, idt_B: 0.079

[Rank 0] (epoch: 3, iters: 40, time: 0.109, data: 0.002) , D_A: 0.244, G_A: 0.164, cycle_A: 0.291, idt_A: 0.095, D_B: 0.090, G_B: 0.430, cycle_B: 0.397, idt_B: 0.051

[Rank 0] (epoch: 3, iters: 140, time: 0.065, data: 0.001) , D_A: 0.140, G_A: 1.088, cycle_A: 0.334, idt_A: 0.116, D_B: 0.240, G_B: 0.274, cycle_B: 0.525, idt_B: 0.070

[Rank 0] (epoch: 3, iters: 240, time: 0.067, data: 0.001) , D_A: 0.140, G_A: 1.233, cycle_A: 0.335, idt_A: 0.086, D_B: 0.210, G_B: 0.374, cycle_B: 0.391, idt_B: 0.058

[Rank 0] (epoch: 3, iters: 340, time: 0.057, data: 0.001) , D_A: 0.067, G_A: 0.515, cycle_A: 0.358, idt_A: 0.090, D_B: 0.071, G_B: 0.746, cycle_B: 0.367, idt_B: 0.079

[Rank 0] (epoch: 3, iters: 440, time: 0.113, data: 0.000) , D_A: 0.072, G_A: 0.642, cycle_A: 0.411, idt_A: 0.106, D_B: 0.048, G_B: 0.671, cycle_B: 0.456, idt_B: 0.095

[Rank 0] (epoch: 3, iters: 540, time: 0.057, data: 0.001) , D_A: 0.038, G_A: 0.739, cycle_A: 0.432, idt_A: 0.180, D_B: 0.160, G_B: 0.535, cycle_B: 0.681, idt_B: 0.095

[Rank 0] (epoch: 3, iters: 640, time: 0.058, data: 0.001) , D_A: 0.065, G_A: 0.462, cycle_A: 0.377, idt_A: 0.190, D_B: 0.169, G_B: 0.768, cycle_B: 0.639, idt_B: 0.060

[Rank 0] (epoch: 3, iters: 740, time: 0.058, data: 0.001) , D_A: 0.147, G_A: 0.855, cycle_A: 0.272, idt_A: 0.099, D_B: 0.062, G_B: 0.610, cycle_B: 0.423, idt_B: 0.058

[Rank 0] (epoch: 3, iters: 840, time: 0.113, data: 0.001) , D_A: 0.054, G_A: 0.990, cycle_A: 0.286, idt_A: 0.109, D_B: 0.085, G_B: 0.835, cycle_B: 0.372, idt_B: 0.055

[Rank 0] (epoch: 3, iters: 940, time: 0.057, data: 0.002) , D_A: 0.086, G_A: 0.513, cycle_A: 0.332, idt_A: 0.136, D_B: 0.038, G_B: 0.777, cycle_B: 0.504, idt_B: 0.054

[Rank 0] (epoch: 3, iters: 1040, time: 0.057, data: 0.001) , D_A: 0.192, G_A: 0.204, cycle_A: 0.325, idt_A: 0.116, D_B: 0.028, G_B: 0.503, cycle_B: 0.508, idt_B: 0.082

[Rank 0] (epoch: 3, iters: 1140, time: 0.062, data: 0.001) , D_A: 0.170, G_A: 0.634, cycle_A: 0.360, idt_A: 0.115, D_B: 0.058, G_B: 0.570, cycle_B: 0.475, idt_B: 0.072

[Rank 0] (epoch: 3, iters: 1240, time: 0.112, data: 0.001) , D_A: 0.091, G_A: 0.552, cycle_A: 0.367, idt_A: 0.219, D_B: 0.023, G_B: 0.644, cycle_B: 0.813, idt_B: 0.081

[Rank 0] (epoch: 3, iters: 1340, time: 0.061, data: 0.001) , D_A: 0.156, G_A: 0.876, cycle_A: 0.329, idt_A: 0.126, D_B: 0.042, G_B: 0.999, cycle_B: 0.490, idt_B: 0.062

[Rank 0] (epoch: 3, iters: 1440, time: 0.058, data: 0.001) , D_A: 0.217, G_A: 0.063, cycle_A: 0.277, idt_A: 0.130, D_B: 0.061, G_B: 1.010, cycle_B: 0.520, idt_B: 0.052

[Rank 0] (epoch: 3, iters: 1540, time: 0.063, data: 0.001) , D_A: 0.030, G_A: 0.306, cycle_A: 0.339, idt_A: 0.091, D_B: 0.079, G_B: 0.853, cycle_B: 0.347, idt_B: 0.062

[Rank 0] (epoch: 3, iters: 1640, time: 0.121, data: 0.001) , D_A: 0.040, G_A: 0.744, cycle_A: 0.274, idt_A: 0.090, D_B: 0.081, G_B: 0.478, cycle_B: 0.361, idt_B: 0.057

[Rank 0] (epoch: 3, iters: 1740, time: 0.059, data: 0.001) , D_A: 0.069, G_A: 0.710, cycle_A: 0.367, idt_A: 0.156, D_B: 0.017, G_B: 0.994, cycle_B: 0.527, idt_B: 0.066

[Rank 0] (epoch: 3, iters: 1840, time: 0.058, data: 0.001) , D_A: 0.103, G_A: 0.541, cycle_A: 0.413, idt_A: 0.144, D_B: 0.044, G_B: 0.833, cycle_B: 0.583, idt_B: 0.072

[Rank 0] (epoch: 3, iters: 1940, time: 0.058, data: 0.001) , D_A: 0.073, G_A: 0.331, cycle_A: 0.317, idt_A: 0.412, D_B: 0.027, G_B: 0.913, cycle_B: 1.666, idt_B: 0.066

[Rank 0] (epoch: 3, iters: 2040, time: 0.113, data: 0.001) , D_A: 0.292, G_A: 0.130, cycle_A: 0.299, idt_A: 0.088, D_B: 0.024, G_B: 0.833, cycle_B: 0.346, idt_B: 0.056

[Rank 0] (epoch: 3, iters: 2140, time: 0.057, data: 0.001) , D_A: 0.031, G_A: 0.892, cycle_A: 0.359, idt_A: 0.298, D_B: 0.034, G_B: 0.913, cycle_B: 1.171, idt_B: 0.063

[Rank 0] (epoch: 3, iters: 2240, time: 0.060, data: 0.001) , D_A: 0.201, G_A: 0.769, cycle_A: 0.388, idt_A: 0.100, D_B: 0.185, G_B: 0.255, cycle_B: 0.363, idt_B: 0.104

[Rank 0] (epoch: 3, iters: 2340, time: 0.057, data: 0.001) , D_A: 0.168, G_A: 1.003, cycle_A: 0.318, idt_A: 0.180, D_B: 0.278, G_B: 0.275, cycle_B: 0.624, idt_B: 0.059

[Rank 0] (epoch: 3, iters: 2440, time: 0.111, data: 0.001) , D_A: 0.088, G_A: 0.454, cycle_A: 0.283, idt_A: 0.112, D_B: 0.256, G_B: 0.214, cycle_B: 0.443, idt_B: 0.048

[Rank 0] (epoch: 3, iters: 2540, time: 0.061, data: 0.001) , D_A: 0.068, G_A: 0.653, cycle_A: 0.356, idt_A: 0.124, D_B: 0.264, G_B: 0.305, cycle_B: 0.406, idt_B: 0.064

[Rank 0] (epoch: 4, iters: 60, time: 0.061, data: 0.001) , D_A: 0.062, G_A: 0.376, cycle_A: 0.282, idt_A: 0.091, D_B: 0.199, G_B: 0.265, cycle_B: 0.358, idt_B: 0.046

[Rank 0] (epoch: 4, iters: 160, time: 0.061, data: 0.001) , D_A: 0.131, G_A: 0.428, cycle_A: 0.320, idt_A: 0.106, D_B: 0.228, G_B: 0.282, cycle_B: 0.435, idt_B: 0.056

[Rank 0] (epoch: 4, iters: 260, time: 0.111, data: 0.001) , D_A: 0.095, G_A: 0.355, cycle_A: 0.275, idt_A: 0.111, D_B: 0.225, G_B: 0.332, cycle_B: 0.537, idt_B: 0.047

[Rank 0] (epoch: 4, iters: 360, time: 0.058, data: 0.001) , D_A: 0.070, G_A: 0.259, cycle_A: 0.269, idt_A: 0.124, D_B: 0.193, G_B: 0.363, cycle_B: 0.427, idt_B: 0.053

[Rank 0] (epoch: 4, iters: 460, time: 0.057, data: 0.002) , D_A: 0.095, G_A: 0.861, cycle_A: 0.284, idt_A: 0.121, D_B: 0.171, G_B: 0.278, cycle_B: 0.480, idt_B: 0.052

[Rank 0] (epoch: 4, iters: 560, time: 0.057, data: 0.000) , D_A: 0.096, G_A: 0.454, cycle_A: 0.233, idt_A: 0.100, D_B: 0.155, G_B: 0.362, cycle_B: 0.417, idt_B: 0.043

[Rank 0] (epoch: 4, iters: 660, time: 0.111, data: 0.001) , D_A: 0.095, G_A: 0.680, cycle_A: 0.347, idt_A: 0.093, D_B: 0.180, G_B: 0.313, cycle_B: 0.381, idt_B: 0.062

[Rank 0] (epoch: 4, iters: 760, time: 0.060, data: 0.001) , D_A: 0.033, G_A: 0.227, cycle_A: 0.321, idt_A: 0.093, D_B: 0.128, G_B: 0.640, cycle_B: 0.351, idt_B: 0.049

[Rank 0] (epoch: 4, iters: 860, time: 0.057, data: 0.001) , D_A: 0.049, G_A: 0.878, cycle_A: 0.362, idt_A: 0.089, D_B: 0.180, G_B: 0.517, cycle_B: 0.402, idt_B: 0.073

[Rank 0] (epoch: 4, iters: 960, time: 0.060, data: 0.001) , D_A: 0.053, G_A: 0.597, cycle_A: 0.266, idt_A: 0.206, D_B: 0.038, G_B: 0.460, cycle_B: 0.751, idt_B: 0.057

[Rank 0] (epoch: 4, iters: 1060, time: 0.116, data: 0.001) , D_A: 0.181, G_A: 0.497, cycle_A: 0.380, idt_A: 0.190, D_B: 0.105, G_B: 0.421, cycle_B: 0.735, idt_B: 0.075

[Rank 0] (epoch: 4, iters: 1160, time: 0.063, data: 0.001) , D_A: 0.091, G_A: 0.760, cycle_A: 0.269, idt_A: 0.124, D_B: 0.117, G_B: 0.454, cycle_B: 0.537, idt_B: 0.056

[Rank 0] (epoch: 4, iters: 1260, time: 0.057, data: 0.001) , D_A: 0.073, G_A: 0.622, cycle_A: 0.285, idt_A: 0.129, D_B: 0.040, G_B: 0.599, cycle_B: 0.447, idt_B: 0.062

[Rank 0] (epoch: 4, iters: 1360, time: 0.058, data: 0.001) , D_A: 0.120, G_A: 0.519, cycle_A: 0.236, idt_A: 0.099, D_B: 0.053, G_B: 1.226, cycle_B: 0.396, idt_B: 0.044

[Rank 0] (epoch: 4, iters: 1460, time: 0.109, data: 0.001) , D_A: 0.144, G_A: 0.344, cycle_A: 0.339, idt_A: 0.128, D_B: 0.123, G_B: 0.663, cycle_B: 0.494, idt_B: 0.075

[Rank 0] (epoch: 4, iters: 1560, time: 0.057, data: 0.001) , D_A: 0.204, G_A: 0.918, cycle_A: 0.242, idt_A: 0.125, D_B: 0.029, G_B: 0.704, cycle_B: 0.486, idt_B: 0.055

[Rank 0] (epoch: 4, iters: 1660, time: 0.058, data: 0.001) , D_A: 0.044, G_A: 0.595, cycle_A: 0.333, idt_A: 0.081, D_B: 0.167, G_B: 0.458, cycle_B: 0.313, idt_B: 0.070

[Rank 0] (epoch: 4, iters: 1760, time: 0.057, data: 0.001) , D_A: 0.153, G_A: 0.422, cycle_A: 0.264, idt_A: 0.242, D_B: 0.026, G_B: 1.056, cycle_B: 0.896, idt_B: 0.046

[Rank 0] (epoch: 4, iters: 1860, time: 0.110, data: 0.001) , D_A: 0.269, G_A: 0.290, cycle_A: 0.236, idt_A: 0.104, D_B: 0.108, G_B: 0.980, cycle_B: 0.386, idt_B: 0.052

[Rank 0] (epoch: 4, iters: 1960, time: 0.058, data: 0.001) , D_A: 0.197, G_A: 1.693, cycle_A: 0.257, idt_A: 0.188, D_B: 0.166, G_B: 1.356, cycle_B: 0.835, idt_B: 0.046

[Rank 0] (epoch: 4, iters: 2060, time: 0.058, data: 0.001) , D_A: 0.085, G_A: 0.641, cycle_A: 0.307, idt_A: 0.140, D_B: 0.052, G_B: 0.970, cycle_B: 0.614, idt_B: 0.074

[Rank 0] (epoch: 4, iters: 2160, time: 0.058, data: 0.001) , D_A: 0.050, G_A: 1.118, cycle_A: 0.378, idt_A: 0.111, D_B: 0.133, G_B: 0.728, cycle_B: 0.423, idt_B: 0.068

[Rank 0] (epoch: 4, iters: 2260, time: 0.112, data: 0.001) , D_A: 0.329, G_A: 0.316, cycle_A: 0.252, idt_A: 0.138, D_B: 0.047, G_B: 0.649, cycle_B: 0.538, idt_B: 0.052

[Rank 0] (epoch: 4, iters: 2360, time: 0.060, data: 0.001) , D_A: 0.046, G_A: 0.372, cycle_A: 0.271, idt_A: 0.068, D_B: 0.042, G_B: 0.496, cycle_B: 0.285, idt_B: 0.045

[Rank 0] (epoch: 4, iters: 2460, time: 0.057, data: 0.001) , D_A: 0.029, G_A: 0.352, cycle_A: 0.402, idt_A: 0.133, D_B: 0.073, G_B: 0.681, cycle_B: 0.515, idt_B: 0.102

[Rank 0] (epoch: 4, iters: 2560, time: 0.061, data: 0.001) , D_A: 0.030, G_A: 0.755, cycle_A: 0.263, idt_A: 0.086, D_B: 0.108, G_B: 0.352, cycle_B: 0.360, idt_B: 0.063

[Rank 0] (epoch: 5, iters: 80, time: 0.112, data: 0.002) , D_A: 0.051, G_A: 0.476, cycle_A: 0.293, idt_A: 0.123, D_B: 0.099, G_B: 0.525, cycle_B: 0.481, idt_B: 0.051

[Rank 0] (epoch: 5, iters: 180, time: 0.057, data: 0.001) , D_A: 0.041, G_A: 0.728, cycle_A: 0.321, idt_A: 0.093, D_B: 0.106, G_B: 0.304, cycle_B: 0.331, idt_B: 0.060

[Rank 0] (epoch: 5, iters: 280, time: 0.057, data: 0.000) , D_A: 0.043, G_A: 0.148, cycle_A: 0.245, idt_A: 0.117, D_B: 0.020, G_B: 0.459, cycle_B: 0.425, idt_B: 0.045

[Rank 0] (epoch: 5, iters: 380, time: 0.058, data: 0.001) , D_A: 0.153, G_A: 0.354, cycle_A: 0.339, idt_A: 0.098, D_B: 0.095, G_B: 0.401, cycle_B: 0.398, idt_B: 0.075

[Rank 0] (epoch: 5, iters: 480, time: 0.111, data: 0.001) , D_A: 0.071, G_A: 0.870, cycle_A: 0.286, idt_A: 0.122, D_B: 0.036, G_B: 1.118, cycle_B: 0.422, idt_B: 0.055

[Rank 0] (epoch: 5, iters: 580, time: 0.064, data: 0.000) , D_A: 0.043, G_A: 1.079, cycle_A: 0.292, idt_A: 0.184, D_B: 0.028, G_B: 0.780, cycle_B: 0.792, idt_B: 0.055

[Rank 0] (epoch: 5, iters: 680, time: 0.058, data: 0.001) , D_A: 0.046, G_A: 0.693, cycle_A: 0.295, idt_A: 0.101, D_B: 0.008, G_B: 0.798, cycle_B: 0.416, idt_B: 0.061

[Rank 0] (epoch: 5, iters: 780, time: 0.057, data: 0.001) , D_A: 0.219, G_A: 0.704, cycle_A: 0.236, idt_A: 0.101, D_B: 0.013, G_B: 0.810, cycle_B: 0.333, idt_B: 0.042

[Rank 0] (epoch: 5, iters: 880, time: 0.112, data: 0.001) , D_A: 0.071, G_A: 0.451, cycle_A: 0.232, idt_A: 0.111, D_B: 0.034, G_B: 0.714, cycle_B: 0.483, idt_B: 0.054

[Rank 0] (epoch: 5, iters: 980, time: 0.060, data: 0.003) , D_A: 0.050, G_A: 1.358, cycle_A: 0.336, idt_A: 0.097, D_B: 0.017, G_B: 0.895, cycle_B: 0.372, idt_B: 0.060

[Rank 0] (epoch: 5, iters: 1080, time: 0.060, data: 0.001) , D_A: 0.028, G_A: 0.802, cycle_A: 0.264, idt_A: 0.203, D_B: 0.018, G_B: 0.929, cycle_B: 0.800, idt_B: 0.045

[Rank 0] (epoch: 5, iters: 1180, time: 0.057, data: 0.003) , D_A: 0.020, G_A: 0.316, cycle_A: 0.284, idt_A: 0.114, D_B: 0.019, G_B: 0.767, cycle_B: 0.437, idt_B: 0.066

[Rank 0] (epoch: 5, iters: 1280, time: 0.112, data: 0.001) , D_A: 0.045, G_A: 1.032, cycle_A: 0.240, idt_A: 0.117, D_B: 0.009, G_B: 1.004, cycle_B: 0.476, idt_B: 0.043

[Rank 0] (epoch: 5, iters: 1380, time: 0.063, data: 0.000) , D_A: 0.014, G_A: 0.381, cycle_A: 0.307, idt_A: 0.094, D_B: 0.008, G_B: 0.863, cycle_B: 0.315, idt_B: 0.057

[Rank 0] (epoch: 5, iters: 1480, time: 0.057, data: 0.001) , D_A: 0.051, G_A: 0.753, cycle_A: 0.224, idt_A: 0.087, D_B: 0.012, G_B: 1.122, cycle_B: 0.409, idt_B: 0.042

[Rank 0] (epoch: 5, iters: 1580, time: 0.058, data: 0.001) , D_A: 0.071, G_A: 0.597, cycle_A: 0.261, idt_A: 0.330, D_B: 0.008, G_B: 0.874, cycle_B: 1.268, idt_B: 0.045

[Rank 0] (epoch: 5, iters: 1680, time: 0.114, data: 0.001) , D_A: 0.185, G_A: 0.305, cycle_A: 0.266, idt_A: 0.149, D_B: 0.142, G_B: 0.999, cycle_B: 0.593, idt_B: 0.045

