================ Training Loss (Sun Feb 22 11:53:54 2026) ================
[Rank 0] (epoch: 2, iters: 220, time: 0.109, data: 0.001) , D_A: 0.095, G_A: 0.327, cycle_A: 0.430, idt_A: 0.186, D_B: 0.389, G_B: 0.485, cycle_B: 0.511, idt_B: 0.200

[Rank 0] (epoch: 2, iters: 320, time: 0.057, data: 0.001) , D_A: 0.271, G_A: 0.519, cycle_A: 0.403, idt_A: 0.236, D_B: 0.054, G_B: 0.469, cycle_B: 0.609, idt_B: 0.134

[Rank 0] (epoch: 2, iters: 420, time: 0.057, data: 0.001) , D_A: 0.116, G_A: 0.312, cycle_A: 0.387, idt_A: 0.154, D_B: 0.078, G_B: 0.427, cycle_B: 0.391, idt_B: 0.149

[Rank 0] (epoch: 2, iters: 520, time: 0.057, data: 0.001) , D_A: 0.220, G_A: 0.251, cycle_A: 0.346, idt_A: 0.351, D_B: 0.106, G_B: 0.458, cycle_B: 0.914, idt_B: 0.243

[Rank 0] (epoch: 2, iters: 620, time: 0.113, data: 0.001) , D_A: 0.177, G_A: 0.303, cycle_A: 0.292, idt_A: 0.287, D_B: 0.039, G_B: 0.538, cycle_B: 0.637, idt_B: 0.098

[Rank 0] (epoch: 2, iters: 720, time: 0.057, data: 0.001) , D_A: 0.038, G_A: 0.484, cycle_A: 0.241, idt_A: 0.448, D_B: 0.148, G_B: 0.280, cycle_B: 1.150, idt_B: 0.081

[Rank 0] (epoch: 2, iters: 820, time: 0.057, data: 0.001) , D_A: 0.610, G_A: 1.020, cycle_A: 0.362, idt_A: 0.248, D_B: 0.086, G_B: 0.456, cycle_B: 0.654, idt_B: 0.129

[Rank 0] (epoch: 2, iters: 920, time: 0.058, data: 0.001) , D_A: 0.180, G_A: 0.359, cycle_A: 0.422, idt_A: 0.138, D_B: 0.135, G_B: 0.301, cycle_B: 0.377, idt_B: 0.128

[Rank 0] (epoch: 2, iters: 1020, time: 0.110, data: 0.001) , D_A: 0.137, G_A: 0.272, cycle_A: 0.254, idt_A: 0.168, D_B: 0.070, G_B: 1.003, cycle_B: 0.467, idt_B: 0.089

[Rank 0] (epoch: 2, iters: 1120, time: 0.058, data: 0.001) , D_A: 0.222, G_A: 0.676, cycle_A: 0.325, idt_A: 0.163, D_B: 0.092, G_B: 0.255, cycle_B: 0.595, idt_B: 0.153

[Rank 0] (epoch: 2, iters: 1220, time: 0.059, data: 0.001) , D_A: 0.169, G_A: 0.438, cycle_A: 0.348, idt_A: 0.336, D_B: 0.030, G_B: 0.964, cycle_B: 0.870, idt_B: 0.117

[Rank 0] (epoch: 2, iters: 1320, time: 0.057, data: 0.001) , D_A: 0.265, G_A: 0.907, cycle_A: 0.295, idt_A: 0.180, D_B: 0.184, G_B: 0.794, cycle_B: 0.479, idt_B: 0.082

[Rank 0] (epoch: 2, iters: 1420, time: 0.109, data: 0.001) , D_A: 0.172, G_A: 0.266, cycle_A: 0.292, idt_A: 0.125, D_B: 0.041, G_B: 0.734, cycle_B: 0.350, idt_B: 0.111

[Rank 0] (epoch: 2, iters: 1520, time: 0.057, data: 0.000) , D_A: 0.433, G_A: 1.291, cycle_A: 0.384, idt_A: 0.331, D_B: 0.034, G_B: 0.901, cycle_B: 0.661, idt_B: 0.141

